"","ID","tau","lrc","res","sal","mem","zet","lp","ll","Persec"
"reset461","5ed43096f615650c8fb1b1ea",0.001,0.999,0.450026614308987,0.400947912280869,0.99999946055,0.215796765316635,-44.2268478228705,-43.7823884044813,0
"reset462","5ed4fa5969acac03603380a0",0.001,0.999,0.583832444028952,1.15131099580766e-05,0.999995687175958,0.367567243800682,-49.008080662363,-45.8904214605912,1
"reset463","5ed507ce0760de048fc356bd",0.001,0.999,0.235792783024204,0.63977313159864,0.999992914938323,0.53783852582505,-61.6418452648396,-60.4274240492591,12
"reset464","5ed6a937eb466b1029493c39",0.001,0.999,0.538549873086363,0.652323185277849,0.999980891187244,0.55176583481967,-62.6887920359288,-61.5433344371003,25
"reset465","5ed7578ef05e671db283844e",0.001,0.999,0.605111013389732,0.500199397554209,0.999998531793356,0.319376386572314,-52.1178077926496,-51.5233330416874,0
"reset466","5ed8e10357f9623ee2f603e7",0.001,0.999,0.24893290975085,0.299718758107389,0.999957432830955,0.484055390285219,-57.9576510750662,-57.1122420599323,5
"reset467","5ed8f853923c0941e1238299",0.001,0.999,0.501666798351388,0.499903221583849,0.500204509369259,0.570276641772379,-57.9393747884588,-57.6861818347622,0
"reset468","5ed90e1ff2a1840a177877d3",0.001,0.999,0.625643065881651,0.473869879155621,0.999999823899147,0.00152105108255731,-15.7476014821504,-15.4183040959493,0
"reset469","5ed97291fac0cc510c9bb3f2",0.001,0.999,0.181914239437964,0.287964794173848,0.999980296248459,0.765811059914486,-68.625431579191,-66.1570275799151,0
"reset470","5eda9f7c460b766ded73bdb7",0.001,0.999,0.670441363084807,0.496027585619026,0.999999562847229,0.359192952362003,-52.7447448756195,-51.9095968542036,12
"reset471","5edb6534fd7ffe7e4b7d065a",0.001,0.999,0.348997817630755,0.433873187133021,0.999996894817889,0.291109105677699,-48.4166318881513,-47.9623209627167,3
"reset472","5edbf6a29a8d508920c14f6c",0.001,0.999,0.451902793607503,0.500173595944891,0.999999220111791,0.0978405739947995,-31.6239893928791,-31.4601633500879,0
"reset473","5edcfb851ba1889e083e218e",0.001,0.999,0.998778293873057,0.500335823138227,0.991571477651124,0.271183258034098,-38.515104497949,-38.3828196640516,8
"reset474","5edd630ac419bf0ed18c99b5",0.001,0.999,0.501491728462894,0.500026139802038,0.499795463399184,0.524423085975648,-55.4448862243373,-55.3852069599669,0
"reset475","5ede3fcf6b821907836e01fc",0.001,0.999,0.312193029998679,0.46747932917071,0.999946862073523,0.677809315495653,-65.8282124059418,-64.160155226984,1
"reset476","5ede976d873bba121db3fe20",0.001,0.999,0.743288575950602,9.35644282009081e-08,0.999999750550408,0.00120435252063435,-12.3991275398467,-8.37420368983134,1
"reset477","5edf50e72ef80a1fe0267aeb",0.001,0.999,0.201153820595225,0.532887937267037,0.999998794580598,0.413228887165691,-54.79500688274,-53.8636000106779,0
"reset478","5ee107a76411e40e242da7f1",0.001,0.999,0.554948952493893,0.305653265719114,0.99993116185234,0.217754677799038,-40.1724149843899,-40.1772715583675,0
"reset479","5ee131f793ab7b12e4b525fb",0.001,0.999,0.430004546784182,0.315985397123881,0.999999732217354,0.184039087147305,-38.0497494091388,-37.5773532433249,1
"reset480","5ee21a32d4c762283a96e624",0.001,0.999,0.923231089666728,0.112222211713646,0.999936027353757,0.653183624435152,-66.8071200606716,-64.9596004250622,2
"reset481","5ee27217fd7c7c72eb755cbe",0.001,0.999,0.49942655890505,0.499931095210455,0.499188812447699,0.728481465838867,-65.0349188924524,-63.8987017774421,0
"reset482","5ee277d2e7dae975727d3985",0.001,0.999,0.577319701373313,0.49897661714297,0.99999914048946,0.402854600485175,-53.84442877524,-52.9549643233937,0
"reset483","5ee40191f8b4750f5e7a5474",0.001,0.999,0.834905545532412,0.359013402702411,0.999948612353843,0.301854360205089,-46.7046374062829,-46.4367076653187,1
"reset484","5ee531ca5f4c6f0be142ded4",0.001,0.999,0.37204389396187,0.499824135858471,0.999999702360931,0.0604172417755643,-23.5088463683514,-23.2980035349221,5
"reset485","5ee53fa05b6d910eb9ea2df8",0.001,0.999,0.499143605387073,0.500240876637059,0.499294055339728,0.501518029788602,-54.0974897623356,-54.127303549602,8
"reset486","5ee64d0bf796cb3b252a8c99",0.001,0.999,0.499809317464712,0.499802843839908,0.577033178254713,0.242045201105683,-34.0863171019839,-34.8944632098272,0
"reset487","5ee655f6137975087129de08",0.001,0.999,0.378798748884142,0.500341302118528,0.99999952191848,0.151149514826071,-34.2680505717942,-33.9531371226458,3
"reset488","5ee7a8ab87d5560568bc2dca",0.001,0.999,0.361204381790696,0.56736451766726,0.99996080088264,0.605677192506332,-63.148190269309,-61.8417062319055,1
