"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID111","5c1a9e323407be0001cf8165","0.01","0.99","0.43","0.3","0.999999","0.1","-43.1466255160372","-36.5023020426486"
"ID112","5c23615d70d93a0001202ea2","0.01","0.99","0.57","0.3","0.999999","0.1","-80.9652881283797","-74.3209646549911"
"ID113","5c28b31a0091e40001ca5030","0.01","0.99","0.57","0.3","0.999999","0.1","-52.3028279424176","-45.6585044690289"
"ID114","5c296b31e9b1b20001b8ac77","0.01","0.99","0.01","1e-06","0.999999","0.1","-53.9313832943039","-43.9024307151509"
"ID115","5c36776624643200010eb6e5","0.01","0.99","0.43","0.3","0.999999","0.1","-53.5279813597731","-46.8836578863844"
"ID116","5c377f1965e5c300013ee88a","0.01","0.99","0.43","0.3","0.999999","0.1","-66.4850977605443","-59.8407742871557"
"ID117","5c3ce5cde0ea82000145f9f9","0.01","0.99","0.99","1e-06","0.999999","0.1","-30.9291873972033","-20.9002348180503"
"ID118","5c3d9334337ac90001a4d6cf","0.01","0.99","0.71","1e-06","0.999999","0.0571432857142857","-22.2530743436258","-12.5903400798881"
"ID119","5c3f7c6329966300010dce78","0.01","0.99","0.57","0.3","0.999999","0.1","-64.386677779415","-57.7423543060263"
"ID120","5c47260028cab20001a74aae","0.01","0.99","0.57","0.3","0.999999","0.1","-77.9862552722494","-71.3419317988607"
"ID121","5c4783f5c41b2a000183a24d","0.01","0.99","0.43","0.3","0.999999","0.1","-87.1800508313918","-80.5357273580032"
"ID122","5c48f116c41b2a000183e340","0.01","0.99","0.57","0.3","0.999999","0.1","-44.3804131890037","-37.736089715615"
"ID123","5c4b6366c547dc0001934854","0.01","0.99","0.43","0.3","0.999999","0.1","-54.1214239007944","-47.4771004274058"
"ID124","5c50ce81d99f9d0001b0f696","0.01","0.99","0.57","0.3","0.999999","0.1","-47.379791678246","-40.7354682048573"
"ID125","5c56eb0e59095a0001bac969","0.01","0.99","0.01","1e-06","0.999999","0.1","-58.8383932507442","-48.8094406715912"
"ID126","5c576413a7890b0001f59a92","0.01","0.99","0.57","0.3","0.999999","0.1","-49.7463288755771","-43.1020054021884"
"ID127","5c5d4afe4cc94200016a4982","0.01","0.99","0.43","0.3","0.999999","0.1","-96.737629838755","-90.0933063653664"
"ID128","5c634aca9d0d7000012479a0","0.01","0.99","0.99","1e-06","0.999999","0.1","-46.2916314484277","-36.2626788692747"
"ID129","5c654e352f6d5e000174bae5","0.01","0.99","0.57","0.3","0.999999","0.1","-84.9271332637033","-78.2828097903146"
"ID130","5c69be6ac3aaf50001c69311","0.01","0.99","0.57","0.3","0.999999","0.1","-101.964049546622","-95.3197260732333"
"ID131","5c6c08c5d9c1580001ce9aab","0.01","0.99","0.57","0.3","0.999999","0.1","-51.9718190703132","-45.3274955969245"
"ID132","5c6c78c4f9951f0001db8bd5","0.01","0.99","0.57","0.3","0.999999","0.0142865714285714","-28.1129317148479","-21.5487090057648"
"ID133","5c6fc42118508b0001e1e711","0.01","0.99","0.57","0.3","0.999999","0.1","-66.8922514798102","-60.2479280064216"
"ID134","5c7840493454d70001df81ee","0.01","0.99","0.43","0.3","0.999999","0.1","-54.7507940442246","-48.106470570836"
"ID135","5c790c7e8fbcb100146b6cd8","0.01","0.99","0.57","0.3","0.999999","0.1","-82.0435980727061","-75.3992745993175"
"ID136","5c7bc8ea5a669300172440fc","0.01","0.99","0.57","0.3","0.999999","0.1","-54.7874775038081","-48.1431540304195"
"ID137","5c7e22dc6babcb0001850548","0.01","0.99","0.29","0.257143","0.999999","0.1","-68.6630368356828","-61.9776040706169"
"ID138","5c7fa97a212cc800147dd154","0.01","0.99","0.57","0.3","0.999999","0.1","-63.0455992747703","-56.4012758013817"
"ID139","5c80097d514b730001d662f4","0.01","0.99","0.43","0.3","0.999999","0.1","-126.264022619448","-119.619699146059"
"ID140","5c8119441c40f30001b464b1","0.01","0.99","0.43","0.3","0.999999","0.1","-88.8980448514659","-82.2537213780772"
"ID141","5c823b094c3d3f000182fc57","0.01","0.99","0.57","0.3","0.999999","0.1","-62.7965491367626","-56.1522256633739"
"ID142","5c8831d20d005a00131367d3","0.01","0.99","0.57","0.3","0.999999","0.1","-43.8059390478163","-37.1616155744277"
"ID143","5c8a65405abd6b0016767b56","0.01","0.99","0.43","0.3","0.999999","0.1","-63.861272155827","-57.2169486824383"
"ID144","5c8bdc00302d6c0016a70680","0.01","0.99","0.43","0.3","0.999999","0.1","-44.5377456601194","-37.8934221867307"
"ID145","5c8cfc3772503f0001e9c965","0.01","0.99","0.57","0.3","0.999999","0.1","-104.71494836639","-98.0706248930013"
"ID146","5c8e05e7aa473f00015e5fe7","0.01","0.99","0.43","0.3","0.999999","0.1","-52.7256398990888","-46.0813164257002"
"ID147","5c915492399a770001aece93","0.01","0.99","0.01","1e-06","0.999999","0.1","-82.2708661987486","-72.2419136195956"
"ID148","5c92a94f5983f5001664fe08","0.01","0.99","0.57","0.3","0.999999","0.1","-127.58867715157","-120.944353678182"
"ID149","5c9776a67610c800126a37a5","0.01","0.99","0.57","0.3","0.999999","0.1","-53.7894773318666","-47.145153858478"
"ID150","5c9879aed87fc4000155f4ac","0.01","0.99","0.15","1e-06","0.999999","0.0428577142857143","-31.4152618423527","-21.7195399247578"
"ID151","5c9e119a881e9800147050da","0.01","0.99","0.01","1e-06","0.999999","0.1","-64.3156968252769","-54.2867442461239"
"ID152","5ca0de7d8001d50018c69031","0.01","0.99","0.43","0.3","0.999999","0.1","-94.485131357056","-87.8408078836674"
"ID153","5ca1f3847a29720017ba6e03","0.01","0.99","0.43","0.3","0.999999","0.1","-69.6645723502085","-63.0202488768199"
"ID154","5ca3adc28618ca001742161b","0.01","0.99","0.43","0.3","0.999999","0.1","-73.2496358739731","-66.6053124005844"
"ID155","5ca62ff267351c0001a652d4","0.01","0.99","0.57","0.3","0.9","0.1","-47.9850640575344","-42.4814971790742"
"ID156","5ca730801c2e7b0012af7c21","0.01","0.99","0.57","0.3","0.999999","0.1","-84.511632174219","-77.8673087008303"
"ID157","5ca86b3cb55c520017af9d7e","0.01","0.99","0.43","0.3","0.999999","0.1","-61.7875642548237","-55.143240781435"
"ID158","5cab2b8f1a90ba00141fb656","0.01","0.99","0.43","0.3","0.9","0.1","-71.3104956287608","-65.8069287503006"
"ID159","5cade9a95baa830017900127","0.01","0.99","0.57","0.3","0.999999","0.1","-56.7826589666704","-50.1383354932818"
"ID160","5cb1ffae6e3f2c001740dfdf","0.01","0.99","0.43","0.3","0.999999","0.1","-98.9743340341889","-92.3300105608002"
"ID161","5cb237be9d908d000120453a","0.01","0.99","0.43","0.3","0.999999","0.1","-51.9558200233118","-45.3114965499232"
"ID162","5cbf52b5bba52700168cbe22","0.01","0.99","0.57","0.3","0.999999","0.1","-66.7724435859905","-60.1281201126019"
"ID163","5cc1a87f3e1f030016f31afe","0.01","0.99","0.43","0.3","0.999999","0.1","-68.743174385532","-62.0988509121433"
"ID164","5cc4969c3b1b1c0018f9da36","0.01","0.99","0.57","0.3","0.999999","0.1","-65.1403772252606","-58.4960537518719"
"ID165","5cc8745ba94e300001fd9687","0.01","0.99","0.99","0.3","0.985713428571429","0.1","-30.2050064032217","-24.1950384472007"
"ID166","5ccafdfd42a8970001f8081f","0.01","0.99","0.43","0.3","0.999999","0.1","-68.0464249689692","-61.4021014955806"
"ID167","5ccdb020ed1c4f001649810e","0.01","0.99","0.43","0.3","0.928571142857143","0.1","-71.3428630951982","-65.8087746166563"
"ID168","5cd707bb2e50c90017583e61","0.01","0.99","0.43","0.3","0.999999","0.1","-83.4407089229502","-76.7963854495616"
"ID169","5cd726aab1fa62001a8de584","0.01","0.99","0.57","0.3","0.999999","0.1","-62.2444186588409","-55.6000951854523"
"ID170","5cdc5fc0243827001706434f","0.01","0.99","0.43","0.3","0.999999","0.1","-43.2513345983005","-36.6070111249118"
"ID171","5cdd35e1ffe01a001631cd78","0.01","0.99","0.01","1e-06","0.999999","0.1","-39.3340588434701","-29.3051062643171"
"ID172","5cdd8bb5fceec6001763f998","0.01","0.99","0.43","0.3","0.999999","0.1","-83.7266755962836","-77.0823521228949"
"ID173","5cdfb5e4b5dcb500011d0d07","0.01","0.99","0.57","0.3","0.999999","0.1","-78.0351448623026","-71.3908213889139"
"ID174","5ce50e4054e33d0001189577","0.01","0.99","0.43","0.3","0.999999","0.1","-69.3100207073819","-62.6656972339932"
"ID175","5ce56b5de9e85d00159a0174","0.01","0.99","0.43","0.3","0.999999","0.1","-35.8137750799594","-29.1694516065708"
"ID176","5ce65aa96ad4e50001097566","0.01","0.99","0.01","1e-06","0.999999","0.1","-49.1668066227285","-39.1378540435755"
"ID177","5cee4a172674040001d07c5b","0.01","0.99","0.57","0.3","0.999999","0.1","-58.5137232196631","-51.8693997462744"
"ID178","5ceebfea7a3448001a6dd6ee","0.01","0.99","0.57","0.3","0.9","0.1","-83.981257808713","-78.4776909302527"
"ID179","5cf03597beaebd001f0d73ab","0.01","0.99","0.57","0.3","0.999999","0.1","-78.2965877428479","-71.6522642694592"
"ID180","5cf0f45706fb120015ecfd2e","0.01","0.99","0.57","0.3","0.9","0.0285721428571429","-12.9688661571891","-7.55158825509432"
"ID181","5cf12ddbf17e370017a278c5","0.01","0.99","0.57","0.3","0.999999","0.1","-41.6729360051979","-35.0286125318093"
"ID182","5cf656e90acc8f000147f643","0.01","0.99","0.43","0.3","0.9","0.1","-53.9914172171361","-48.4878503386759"
"ID183","5cfe7e8bc2acc60001196300","0.01","0.99","0.43","0.3","0.999999","0.1","-61.3059567527971","-54.6616332794084"
"ID184","5d0124a5b35d41000152ded3","0.01","0.99","0.43","0.3","0.999999","0.0142865714285714","-23.7275734868365","-17.1633507777533"
"ID185","5d0a345d8d7a4b000172fb93","0.01","0.99","0.57","0.3","0.999999","0.1","-95.5557700111348","-88.9114465377461"
"ID186","5d0b787c4d659a000139110b","0.01","0.99","0.43","0.3","0.999999","0.1","-53.4743318312397","-46.830008357851"
"ID187","5d0cc9b80622c6000144f1d6","0.01","0.99","0.57","0.3","0.999999","0.1","-61.6558692895432","-55.0115458161545"
"ID188","5d124464019fa6000162bfdb","0.01","0.99","0.57","0.3","0.999999","0.1","-105.674127527026","-99.0298040536378"
