"","ID","tau","lrc","reset","sal","mem","zeta","dlrc","lp","sumll"
"ID291","5e2c96a6ec357b2b16b15d31","4.69117278543542","0.29","1e-10","0.214286","0.999999","1e-06","1e-10","-64.0840274286475","-48.961196505821"
"ID292","5e3012c68dc3120111433304","0.484312542963499","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-21.4007243691833","-5.16778180598841"
"ID293","5e30492697a58001749fce6b","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-50.9796002394762","-34.1291632870774"
"ID294","5e317e93287816155e5ac60d","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-63.4117129870344","-47.8762012330157"
"ID295","5e32c95c87b8ef28e5aff6ea","2.20071021028099","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-61.8048820808848","-44.8947793832174"
"ID296","5e32d8909af66c000b4d8a82","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-39.7299717591087","-22.7470440357533"
"ID297","5e33190a5a41122e93c40989","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-79.8005002309704","-64.4205365947688"
"ID298","5e3326095a41122f66244612","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-67.1898377844757","-52.2181288291486"
"ID299","5e34a2c2f1319b4763f82289","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-68.6413051673375","-53.1057934133189"
"ID300","5e360848a42bce5c5fce0b89","0.227199382119539","0.01","1e-10","1e-06","0.999999","1e-06","1e-10","-66.8003210999842","-49.4841640187208"
"ID301","5e3aa9e1764672000d62723d","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-35.3347560818379","-21.080114655721"
"ID302","5e3b07fddc4a3431fbcc6235","2.20071021028099","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-44.1280693386577","-29.9330936578095"
